,factor_0,factor_1,factor_2
0,0.8038604235897312,-1.4581802774749868,1.2752759115343044
1,0.9185414050909614,-0.45464673622686935,-0.9750290889931308
2,0.5584479109036468,-0.517385474436572,-0.07867701709416815
3,1.6791383055648672,-1.5156571725257895,-0.3043237392609177
4,1.5645121830793332,-0.7732013929491732,-0.43303396261570737
5,0.3051485578953501,1.3433993131685626,-0.3742754711762213
6,0.9829084692297109,0.9880264806856245,0.4835903304063977
7,1.0828118755404668,-0.4632919189389424,0.23385795991166183
8,0.8748716745107521,0.39367582517258193,-0.36426386977979053
9,1.0917847594314183,0.5009561512148417,0.2817062048917646
10,1.1925711585796894,-0.5698531932127181,-1.4254252494937616
11,1.0637925066463856,0.23577863008941186,1.644528580162674
12,0.616222145024004,0.5756249997891759,-0.5345604814077315
13,0.5272203669023185,1.1613832004241174,0.5809694541509658
14,1.108536410056358,1.9605334643982466,0.2164296997744496
15,-0.6745953297289707,-0.2439857651285471,0.6176833583307985
16,-0.996789672202541,-0.26396160481208175,-1.6312749812159582
17,-0.9338221378580757,0.05933405658787075,1.0672110224567561
18,-0.47725011227996145,-1.4665754885706064,1.5052818020158065
19,-0.8316766605222065,-1.6352013921570874,0.607136577515831
20,-1.0176192567532716,0.42216825480663167,-1.4881411154528852
21,-0.5797805239504538,0.12873188532525734,1.3751011350960334
22,-1.6392601879405255,-0.4065816327080439,0.08169233421787746
23,-0.05793683375610714,0.01662855026364938,-1.0106169127251776
24,-0.6114694566028533,-1.3277193649911398,-0.51980697134048
25,-1.3024709546582858,-0.9741469330729857,0.16759268184148346
26,-0.9557091083241959,1.8375610798170599,1.0981242305261099
27,-0.3009771144469645,1.2021523434189594,-0.09141255773553492
28,-1.0716923653211656,-0.354293868677581,-0.6697944247358091
29,-1.5324917820788233,0.640792887501332,0.07987682316417892
30,-0.3796218931889559,0.2582621824424234,-0.7910343311191934
31,-1.0072047624316351,0.699672910777378,-0.624387931850626
